NDB_No,Shrt_Desc,Water_(g),Energ_Kcal,Protein_(g),Lipid_Tot_(g),Ash_(g),Carbohydrt_(g),Fiber_TD_(g),Sugar_Tot_(g),Calcium_(mg),Iron_(mg),Magnesium_(mg),Phosphorus_(mg),Potassium_(mg),Sodium_(mg),Zinc_(mg),Copper_(mg),Manganese_(mg),Selenium_(mcg),Vit_C_(mg),Thiamin_(mg),Riboflavin_(mg),Niacin_(mg),Vit_B6_(mg),Vit_B12_(mcg),Vit_A_IU,Vit_A_RAE,Vit_E_(mg),Vit_D_mcg,Vit_D_IU,Vit_K_(mcg),FA_Sat_(g),FA_Mono_(g),FA_Poly_(g),Cholestrl_(mg)
03171,BABYFOOD JUC APPL&PRUNE,81.3,72,0.2,0.1,0.3,18.1,0.1,10.58,9,0.95,7,15,148,8,0.05,0.062,,0.3,67.5,0.005,0.002,0.301,0.035,0,16,1,0.05,0,0,1.3,0.018,0.006,0.031,0
03172,BABYFOOD JUICE ORANGE,88.5,45,0.6,0.3,0.4,10.2,0.1,8.26,12,0.17,9,11,184,0,0.06,0.046,,0.1,62.5,0.045,0.028,0.239,0.054,0,55,3,0.04,0,0,0.1,0.035,0.05,0.06,0
03173,BABYFOOD JUC ORANGE&APPL,88.9,43,0.4,0.2,0.4,10.1,,,10,0.2,5,7,138,3,0.03,0.04,,0.1,76.9,0.038,0.028,0.185,0.038,0,73,4,,,,,,,,
03174,BABYFOOD JUC ORANGE&APPL&BANANA,87.6,47,0.4,0.1,0.4,11.5,0.1,10.03,5,0.35,6,8,134,0,0.03,0.044,,0.1,32.1,0.043,0.027,0.263,0.062,0,27,1,0.02,0,0,0.1,0.016,0.007,0.027,0
03175,BABYFOOD JUC ORANGE&APRICOT,87.8,46,0.8,0.1,0.4,10.9,0.1,,6,0.38,7,12,199,6,0.04,0.084,,0.1,85.9,0.058,0.028,0.267,0.056,0,216,11,0.6,,,,0.011,0.022,0.02,0
03176,BABYFOOD JUC ORANGE&BANANA,86.9,50,0.7,0.1,0.4,11.9,,,17,0.11,14,13,200,3,0.09,0.042,,0.1,34,0.051,0.042,0.18,0.054,0,46,2,,,,,,,,
03177,BABYFOOD JUC ORANGE&PNAPPL,87.3,48,0.5,0.1,0.4,11.7,0.1,,8,0.42,9,9,141,2,0.04,0.044,,0.1,53.4,0.05,0.023,0.194,0.062,0,31,2,0.6,,,,0.01,0.014,0.024,0
03178,BABYFOOD JUC PRUNE&ORANGE,81.9,70,0.6,0.3,0.4,16.8,,,12,0.87,8,10,181,2,0.04,0.046,,0.1,63.8,0.044,0.12,0.396,0.061,0,131,7,,,,,,,,
03179,BABYFOOD JUC MXD FRUIT,87.9,47,0.1,0.1,0.2,11.7,0.1,8.46,8,0.34,5,5,101,8,0.03,0.04,,0.5,63.6,0.023,0.014,0.123,0.043,0,42,2,0.04,0,0,0.9,0.015,0.006,0.039,0
03181,BABYFOOD CRL BARLEY DRY,6.8,376,13.2,6.6,4,69.4,6.6,13.2,795,47.5,115,439,395,12,3.13,0.467,,30.2,2.2,2.737,2.699,35.988,0.374,0,0,0,5,0,0,2.3,0.894,1.45,3.859,0
03184,BABYFOOD CRL WHL WHEAT W/APPLS DRY,1.7,402,12.6,4.8,3.7,77.1,12.2,22.2,600,45,140,500,516,25,2.6,0.62,2.52,64.7,58.3,1.5,1.8,13.33,0.3,0,20,1,1.13,0,0,8.3,0.639,1.277,1.866,0
03185,BABYFOOD CEREAL MIXED DRY,6.7,379,12.2,4.4,3.3,73.4,7.5,0.87,733,47.5,100,392,437,3,2.4,0.334,,25.9,2.3,2.438,2.717,34.714,0.189,0,20,1,3.68,0,0,1.5,0.769,1.206,1.697,0
03186,BABYFOOD CRL MXD W/BANANAS DRY,4.5,391,10.7,4.6,3.1,77.1,7.8,6.68,696,47.5,90,367,668,0,1.4,0.256,,20,3.6,3.78,3.56,20.56,0.408,0.24,125,6,0.51,0,0,3.5,0.846,1.223,1.734,0
03187,BABYFOOD CRL MXD W/APPLSAUC&BANANAS STR,80,82,1.2,0.5,0.3,18,1.2,7.79,6,6.62,8,23,41,3,0.19,0.054,,2.6,25.5,0.28,0.35,3.963,0.137,0,18,1,0.03,0,0,0.3,0.09,0.135,0.191,0
03188,BABYFOOD CRL MXD W/ APPLSAUC & BANANAS JR,79.6,83,1.2,0.4,0.4,18.4,1.2,7.79,4,5.61,7,29,32,3,0.22,0.055,,2.6,9.1,0.285,0.356,4.039,0.139,0,19,1,0.03,0,0,0.3,0.072,0.108,0.152,0
03189,BABYFOOD CRL OATMEAL DRY,5.9,393,13.07,6.6,3.38,71.05,9,3.84,707,51.25,138,610,420,4,5.39,0.458,3.4,29.6,0,2.805,3.313,28.434,0.563,0,0,0,4.95,0,0,4.1,1.37,2.57,2.47,0
03190,BABYFOOD CRL OATMEAL W/BANANAS DRY,4.7,393,12,6,3.9,73.4,5.2,13.75,651,47.5,118,444,731,6,1.9,0.391,,20.5,4.7,3.6,3.71,20.11,0.423,0.22,69,3,5,0,0,3,1.267,1.429,2.186,0
03191,BABYFOOD CRL OATMEAL W/APPLSAUC&BANANAS STR,82.2,74,1.3,0.7,0.4,15.4,0.8,10.49,9,5.65,11,41,47,3,0.35,0.073,,3,21.8,0.42,0.365,5.042,0.2,0,30,2,0.16,0,0,2.2,0.125,0.216,0.253,0
03192,BABYFOOD CRL OATMEAL W/APPLSAUC&BANANAS JR,81.8,75,1.3,0.7,0.4,15.7,0.8,9.48,6,7.5,11,41,48,3,7.5,0.075,,3,24.5,0.25,0.484,5.6,0.24,0,28,1,0.1,0,0,0.6,0.126,0.216,0.253,0
03193,BABYFOOD CRL OATMEAL W/HONEY DRY,5.8,391,13.5,7,4.4,69.3,,,1154,67.23,146,733,259,47,3.7,0.529,,36.4,0,2.771,2.842,36.292,0.154,0,23,1,,,,,,,,
03194,BABYFOOD CEREAL RICE DRY,6.7,391,7.1,4.9,3.6,77.7,0.5,0.12,850,47.5,206,590,385,6,1.98,0.331,,11.6,2.4,2.645,2.221,31.243,0.479,0,0,0,5,0,0,0,0.919,1.26,2.016,0
03195,BABYFOOD CRL RICE W/APPLSAUC&BANANAS STR,81,80,1.2,0.4,0.3,17.1,1,2.24,17,6.73,3,12,28,4,0.08,0.051,,2.1,31.6,0.26,0.422,4.017,0.234,0,21,1,0.04,0,0,0.2,0.114,0.104,0.102,0
03197,BABYFOOD CRL W/EGG YOLKS STR,88.8,51,1.9,1.8,0.5,7,0.9,,24,0.47,3,40,39,33,0.29,0.022,,,0.7,0.009,0.044,0.049,0.021,0.07,141,40,,,,,0.61,0.79,0.3,63
03198,BABYFOOD CRL W/EGG YOLKS JR,88.7,52,1.9,1.8,0.4,7.1,0.9,,24,0.51,3,40,35,33,0.29,0.022,,,0.7,0.008,0.045,0.048,0.02,0.06,144,41,,,,,0.61,0.79,0.3,63
03199,BABYFOOD CRL W/EGGS STR,87.2,58,2.2,1.5,0.6,8,,,27,0.54,3,46,44,38,0.33,0.025,,,0.8,0.01,0.05,0.056,0.024,0.08,161,,,,,,0.49,0.61,0.33,51
03201,BABYFOOD CRL EGG YOLKS&BACON JR,85.9,79,2.5,5,0.4,6.2,0.9,,28,0.47,5,50,35,48,0.27,0.02,,,0.9,0.05,0.077,0.266,0.026,0.09,94,28,,,,,1.64,2.207,0.641,94
03205,BABYFOOD OATMEAL CRL W/FRUIT DRY INST TODD,5.4,402,10.5,7.05,2.95,74.1,7.8,11.09,286,14.3,107,429,346,0,5.7,0.34,2.8,20.5,2.7,0.75,0.86,9.6,0.38,0,89,4,2.48,0,0,7.5,1.572,3.008,2.29,0
03206,BABYFOOD COOKIE BABY FRUIT,5.7,435,6.8,12.6,1.2,73.7,3.4,24.2,83,2.9,30,189,425,9,0.8,0.04,0.22,20.5,1.5,0.44,0.42,3.6,0.21,0.22,2348,117,1.48,0,0,3.2,2.7,4.865,4.334,4
03209,BABYFOOD CRACKERS VEG,2,477,8.4,19.6,3.15,66.85,4,13,41,4.2,37,198,245,571,0.9,0.13,0.77,13.7,50.5,0.35,0.33,4.05,0.12,0,3571,179,8.05,0,0,7.1,1.966,15.779,1.022,0
03210,BABYFOOD CRL RICE W/MXD FRUIT JR,80.4,82,0.9,0.2,0.4,18.3,0.6,10.5,16,2.6,5,21,50,10,0.14,0.025,,2.1,9.3,0.13,0.16,2.12,0.11,0.02,15,1,0.04,0,0,0.2,0.06,0.04,0.05,0
03211,BABYFOOD CRL HI PROT W/APPL&ORANGE DRY,5.3,374,25.4,6.5,5.2,57.6,7.1,,751,47.5,159,539,1330,104,2.7,0.964,,28.3,3.1,3.79,4.33,23.83,0.351,0.3,54,3,,,,,0.96,1.231,3.429,0
03212,BABYFOOD CRL RICE W/BANANAS DRY,4.7,404,8.7,4.2,2.5,79.9,1,16.7,691,47.5,141,410,769,0,1.5,0.254,,11.6,2,3.97,3.8,23.32,0.686,0.21,29,1,0.37,0,0,3.8,0.978,0.986,1.503,0
03213,BABYFOOD COOKIES,5.9,433,11.8,13.2,2,67.1,0.2,24.2,101,4.18,49,179,501,300,1.1,0.074,0.348,17.2,7,1.459,3.229,15.966,5.899,0.46,23,6,0.46,1.2,50,1.1,2.352,5.99,2.878,12
03214,BABYFOOD COOKIES ARROWROOT,5.6,424,7.6,10,1.4,75.4,0.2,,32,3,22,116,156,319,0.53,0.074,,17.2,5.5,0.499,0.429,5.739,0.04,0.07,0,0,3.86,0,0,0.5,1.048,7.922,0.591,0
03215,BABYFOOD PRETZELS,4,397,10.8,2,1,82.2,2.3,3.08,25,3.77,28,110,137,269,0.78,0.145,,7.6,3.8,0.463,0.357,3.56,0.083,0,8,0,0.28,0,0,0.3,0.4,0.238,1.054,0
03216,BABYFOOD TEETHING BISCUITS,6.4,392,10.7,4.2,2.3,76.4,1.4,12.65,263,3.55,35,164,323,285,0.93,0.142,,23.5,9.1,0.233,0.537,4.33,0.111,0.07,116,28,1.1,0.5,21,0.5,1.206,1.702,0.998,7
03217,ZWIEBACK,4.5,426,10.1,9.7,1.5,74.2,2.5,12.5,20,0.6,14,55,305,227,0.54,0.145,,28.7,5.3,0.208,0.239,1.319,0.082,0,58,16,2.44,0,0,0.9,2.525,4.244,2.073,8
03220,BABYFOOD DSSRT DUTCH APPL STR,79.5,75,0.2,0.4,0.16,19.74,1.4,17.89,5,0.2,2,3,33,0,0.01,0.059,,0.2,21.4,0.011,0.013,0.048,0.011,0,49,2,0.04,0,0,0.5,0.19,0.08,0.01,0
03221,BABYFOOD DSSRT DUTCH APPL JR,80.32,79,0.2,0.16,0.14,19.18,1.4,17.89,3,0.11,4,7,67,3,0.03,0.03,0.02,0.2,18,0.01,0.012,0.048,0.017,0,18,1,0.04,0,0,0.5,0.025,0.006,0.045,0
03222,BABYFOOD CHERRY COBBLER JR,79.8,78,0.3,0.1,0.19,19.2,0.2,10.39,5,0.1,2,6,45,0,0.05,0.01,0.02,0.9,9.3,0.01,0.01,0.06,0.02,0,31,2,0.03,0,0,0.5,0.02,0.02,0.03,0
03224,BABYFOOD DSSRT CHERRY VANILLA PUDD STR,81.5,68,0.2,0.3,0.2,17.8,0.3,9.15,5,0.19,2,7,34,0,0.04,0.05,,0.6,1.1,0.008,0.011,0.038,0.011,0.01,261,18,0.01,0,1,0.2,0.087,0.105,0.053,10
03225,BABYFOOD DSSRT CHERRY VANILLA PUDD JR,81,69,0.2,0.2,0.2,18.4,0.3,16.98,5,0.17,2,7,33,0,0.03,0.051,,0.6,1.1,0.007,0.011,0.038,0.012,0.01,261,18,0.01,0,1,0.2,0.058,0.07,0.036,10
03226,BABYFOOD DSSRT FRUIT PUDD ORANGE STR,79.8,80,1.1,0.9,0.6,17.7,0.6,,32,0.1,5,28,86,20,0.17,0.05,,0.6,9.1,0.04,0.057,0.119,0.027,0.01,115,6,,,,,0.545,0.257,0.038,3
03227,BABYFOOD DSSRT PEACH COBBLER STR,81.8,65,0.3,0,0.24,17.8,0.7,10.62,4,0.1,2,5,54,7,0.3,0.19,,1,20.5,0.009,0.014,0.259,0.007,0,138,7,0.31,0,0,1.1,0,0,0,0
03228,BABYFOOD DSSRT PEACH COBBLER JR,81.2,67,0.3,0,0.24,18.3,0.7,11.89,4,0.1,2,6,56,0,0.03,0.196,,1,20.5,0.01,0.015,0.259,0.007,0,138,7,0.31,0,0,1.1,0,0,0,0
03229,BABYFOOD DSSRT PEACH MELBA STR,82.9,60,0.2,0,0.3,16.5,,,10,0.33,2,5,83,9,0.28,0.178,,,31.4,0.006,0.036,0.343,0.006,0,184,56,,,,,,,,
03230,BABYFOOD DSSRT PEACH MELBA JR,83,60,0.3,0,0.4,16.4,,,11,0.3,2,5,93,9,0.28,0.177,,,26,0.007,0.03,0.272,0.006,0,196,26,,,,,,,,
03233,BABYFOOD DSSRT FRUIT PUDD PNAPPL STR,77.6,81,1.3,0.3,0.5,20.3,0.7,10.28,31,0.18,9,31,81,0,0.2,0.023,,1.2,27.2,0.038,0.046,0.107,0.04,0.06,37,11,0,0.3,13,0,0.099,0.109,0.041,0
03235,BABYFOOD DSSRT FRUIT DSSRT WO/VIT C STR,83.4,59,0.3,0,0.3,16,0.6,12.6,9,0.22,5,7,94,0,0.04,0.03,,0.4,2.5,0.016,0.009,0.143,0.037,0,132,7,0.29,0,0,1.5,0,0,0,0
03236,BABYFOOD DSSRT FRUIT DSSRT WO/VIT C JR,82.2,63,0.3,0,0.3,17.2,0.6,12,9,0.21,5,8,95,0,0.05,0.03,,0.4,3,0.021,0.012,0.144,0.033,0,132,7,0.29,0,0,1.5,0,0,0,0
03238,BABYFOOD DSSRT TROPICAL FRUIT JR,83.2,60,0.2,0,0.2,16.4,,,10,0.26,5,8,58,7,0.05,0.028,,0.4,18.8,0.011,0.031,0.08,0.031,0,20,1,,,,,,,,
03245,BABYFOOD DSSRT CUSTARD PUDD VANILLA STR,79.9,85,1.6,2,0.5,16,0,11.5,55,0.24,5,45,66,0,0.28,0.05,,2.4,0.8,0.012,0.08,0.04,0.02,0.01,64,18,0.23,0.5,21,0,1.01,0.68,0.16,8
03246,BABYFOOD DSSRT CUSTARD PUDD VANILLA JR,79.31,86,1.76,0.98,0.37,17.58,0.2,12.2,54,0.22,5,55,68,26,0.3,0.01,0.01,2.4,0.4,0.012,0.054,0.076,0.03,0.23,47,13,0.09,0.5,19,0,0.325,0.364,0.128,38
03265,BABYFOOD JUC APPL&GRAPE,88.1,46,0.1,0.2,0.26,11.34,0.1,10.9,6,0.39,6,5,90,0,0.04,0.078,,0.1,31.5,0.007,0.021,0.109,0.034,0,4,0,0,0,0,0,0.04,0.009,0.059,0
03267,BABYFOOD JUC FRUIT PUNCH W/CA,86.5,52,0.2,0.1,0.52,12.7,0.4,10.6,64,0.3,7,11,86,4,0.04,0.02,0.09,0.1,21.2,0.01,0.02,0.1,0.05,0,3,0,0.01,0,0,0.1,0.02,0.004,0.029,0
03268,BABYFOOD JUC APPL&CHERRY,89.5,41,0.1,0.2,0.3,9.9,0.1,8.98,5,0.66,3,6,98,0,0.03,0.043,,0.1,58.3,0.008,0.015,0.094,0.031,0,5,0,0.02,0,0,0.4,0.035,0.011,0.06,0
03269,BABYFOOD JUC APPL W/CA,88.3,46,0.06,0.1,0.48,11.1,0.4,9,127,0.2,6,8,92,3,0.03,0.01,0.29,0.1,21.2,0.02,0.02,0.08,0.03,0,0,0,0,0,0,0,0.018,0.005,0.032,0
03274,BABYFOOD DINNER VEG&CHICK JR,87.76,53,2.04,1.12,0.42,8.66,1.1,1.46,27,0.33,8,32,83,34,0.3,0.02,0.11,2.1,0.2,0.025,0.046,0.628,0.046,0.02,2612,131,0.16,0,2,2.1,0.302,0.402,0.269,7
03278,BABYFOOD DINNER MXD VEG STR,88.7,41,1.2,0.1,0.5,9.5,,,22,0.33,11,24,121,38,0.16,0.044,,0.7,2.8,0.015,0.031,0.502,0.075,0,2728,136,,,,,,,,
03279,BABYFOOD DINNER MXD VEG JR,90.6,33,1,0,0.4,8,,,17,0.31,10,22,112,38,0.24,0.036,,0.7,3.3,0.014,0.024,0.414,0.075,0,2444,122,,,,,,,,
03280,BABYFOOD FRUIT BANANAS W/TAPIOCA JR,81.5,67,0.4,0.2,0.2,17.8,1.6,7.1,8,0.3,12,9,108,0,0.07,0.046,,0.6,25.7,0.015,0.02,0.218,0.139,0,44,2,0.6,0,0,0.2,0.076,0.018,0.037,0
03282,BABYFOOD VEG MIX VEG JR,89.4,36,1.4,0.4,0.6,8.2,1.5,1.78,11,0.41,11,25,170,36,0.27,0.041,,0.7,2.5,0.029,0.032,0.665,0.081,0,4195,210,0.52,0,0,7.4,0.079,0.025,0.186,0
03283,BABYFOOD VEG GARDEN VEG STR,90,32,2.3,0.2,0.7,6.8,1.5,2.57,28,0.83,21,28,168,31,0.26,0.07,,0.7,5.7,0.061,0.069,0.779,0.1,0,6067,303,0.52,0,0,24.5,0.035,0.011,0.09,0
03286,BABYFOOD VEG MIX VEG STR,89.8,36,1,0.5,0.45,8.25,1.5,1.57,13,0.32,10,22,127,0,0.15,0.04,,0.7,1.7,0.022,0.025,0.327,0.055,0,3166,158,0.24,0,0,7,0.089,0.118,0.194,0
03287,BABYFOOD DINNER BF NOODLE JR,87.8,57,2.5,1.9,0.5,7.3,1.1,1.45,8,0.43,7,30,46,26,0.4,0.032,,5.7,1.4,0.028,0.036,0.582,0.031,0.1,656,33,0.47,0,1,4.6,0.766,0.838,0.094,8
03289,BABYFOOD APPLS W/HAM STR,85.3,62,2.6,0.9,0.3,10.9,1.8,7.98,4,0.3,7,34,120,9,0.4,0.04,0.02,4.6,0.1,0.06,0.06,0.73,0.07,0.02,6,0,0.07,0.1,3,0.5,0.25,0.36,0.111,8
03290,BABYFOOD CARROTS&BF STR,87.3,59,3.4,2.5,0.7,5.7,2.6,2.04,22,0.5,13,45,226,69,0.8,0.054,0.14,2.8,0.8,0.02,0.06,0.93,0.1,0.3,14452,723,0.65,0,1,7.4,0.96,1.06,0.13,8
03293,BABYFOOD PLUMS BANANAS&RICE STR,85.6,57,1.1,0.3,0.43,12.7,1.3,9.3,3,0,11,32,265,0,0.13,0.054,,2.4,12.3,0.04,0.05,0.8,0.13,0,133,7,0.24,0,0,5.7,0.06,0.12,0.07,0
03296,BABYFOOD DINNER TURKEY RICE AND VEG TODD,86.3,60,3.8,1.6,0.8,7.5,0.8,0.66,11,0.4,14,63,107,23,0.61,0.1,0.23,3.3,0.3,0.07,0.07,2.11,0.13,0.1,2268,113,0.15,0,2,3.9,0.5,0.555,0.309,7
03297,BABYFOOD DINNER APPLS&CHICK STR,85.4,65,2.16,1.38,0.18,10.88,1.8,6.06,18,0.38,6,32,95,12,0.36,0.04,0.03,2.5,0.2,0.02,0.057,0.577,0.083,0.02,30,2,0.07,0,1,0.6,0.347,0.411,0.35,5
03298,BABYFOOD DINNER BROCCOLI & CHICK JR,86.92,62,3.59,2.48,0.67,6.34,1.4,1.43,37,0.52,12,58,170,17,0.39,0.03,0.12,2.2,17.7,0.019,0.098,0.964,0.052,0.33,474,24,0.6,0,1,73.5,0.51,0.77,0.43,13
03301,Babyfood  beverage  GERBER GRADUATE FRUIT SPLASHERS,92.5,31,0,0,0.15,7.4,0,6.12,71,0,3,3,22,11,0.71,0.014,0.087,0.1,35.3,0.007,0.013,0.06,0.022,0,4,0,0,0,0,0.2,0,0.002,0.015,0
03302,BABYFOOD SNACK GERBER GRADUATE YOGURT MELTS,6,429,14.29,4,3.89,71.43,2.3,57.14,457,0,53,382,714,286,1.77,0.092,0.077,11.8,57.1,0.113,0.817,3.301,0.168,1.7,1396,107,6.43,0.1,3,12.2,2.236,0.968,0.194,0
03303,BABYFOOD DINNER SWT POTATOES&CHICK STR,83.7,74,2.51,2.17,0.58,11.04,1.3,2.65,30,0.45,13,25,200,22,0.37,0.081,0.153,1.7,0,0.02,0.04,1.04,0.137,0.05,4318,216,0.58,0.1,4,1.3,0.572,0.98,0.48,11
03304,BABYFOOD DINNER POTATOES W/CHS&HAM TODD,81.5,78,3.5,2,1.03,11.97,1.2,0.8,53,0.4,14,108,143,205,0.6,0.06,0.018,5.5,0.1,0.05,0.1,1.06,0.16,0.07,31,8,0.02,0,1,1.3,1.1,0.733,0.163,6
03681,BABYFOOD CRL BARLEY PREP W/WHL MILK,82.19,84,3.73,3.26,0.87,9.94,0.6,5.1,162,3.49,18,110,151,43,0.57,0.057,0.004,5.6,0.2,0.242,0.353,2.707,0.06,0.42,150,43,0.43,1.2,47,0.4,1.76,0.802,0.309,10
03682,BABYFOOD CRL HI PROT PREP W/WHL MILK,74.5,111,8.7,3.8,1.5,11.6,,,218,12.14,48,177,349,49,1.04,0.217,,,,0.47,0.579,5.668,0.113,0.3,105,,,,,,,,,
03685,BABYFOOD CRL MXD PREP W/WHL MILK,79.21,96,4.14,3.38,0.96,12.3,0.8,4.78,220,10.43,20,118,166,42,0.59,0.059,0.004,6.1,0.3,0.308,0.448,3.88,0.053,0.4,146,41,0.47,1.1,45,0.4,1.745,0.855,0.359,9
03686,BABYFOOD CRL MXD W/BANANAS PREP W/WHL MILK,81.81,86,3.82,3.46,0.92,10,0.4,5.9,153,3.63,18,111,178,48,0.49,0.053,0.004,4.9,0.4,0.315,0.437,1.605,0.065,0.43,155,43,0.44,1.2,47,0.5,1.808,0.859,0.342,10
03689,BABYFOOD CRL OATMEAL PREP W/WHL MILK,74.5,116,5,4.1,1.1,15.3,1.1,,220,12.14,35,160,204,46,0.92,0.094,,,1.3,0.506,0.563,5.981,0.06,0.3,105,22,,,,,2.258,,,11
03690,BABYFOOD CRL OATMEAL W/BANANAS PREP W/WHL MILK,81.81,86,3.82,3.46,0.92,10,0.4,5.9,153,3.63,18,111,178,48,0.49,0.053,0.004,4.9,0.4,0.315,0.437,1.605,0.104,0.43,155,43,0.44,1.2,47,0.5,1.82,0.859,0.345,10
03693,BABYFOOD CRL OATMEAL W/HONEY PREP W/WHL MILK,74.5,115,5,3.9,1.3,15.3,,,289,11.09,35,198,170,49,0.93,0.095,,,,0.487,0.602,6.034,0.06,0.3,,,,,,,,,,
03694,BABYFOOD CRL RICE PREP W/WHL MILK,81.96,85,3.45,3.38,0.89,10.31,0,4.87,168,3.63,25,122,151,42,0.49,0.048,0.004,4.3,0.2,0.243,0.324,2.449,0.069,0.41,150,42,0.44,1.2,47,0.2,1.793,0.846,0.333,10
03696,BABYFOOD CRL RICE W/HONEY PREP W/WHL MILK,74.4,115,3.9,3.3,1.3,17.1,,,291,10.81,45,181,141,49,0.65,0.063,,,0,0.476,0.608,6.083,0.115,0.3,108,21,,,,,,,,
03704,BABYFOOD CRL MXD W/HONEY PREP W/WHL MILK,74.2,115,5,3.6,1.2,15.9,,,294,11.27,28,184,171,48,0.72,0.064,,,,0.447,0.583,6.26,0.067,0.3,,,,,,,,,,
03711,BABYFOOD CRL HI PROT W/APPL&ORANGE PREP W/WHL MILK,74.4,112,6.9,3.9,1.5,13.4,,,223,14.42,37,166,346,58,0.76,0.166,,,,0.655,0.847,3.987,0.092,0.35,,,,,,,,,,
03712,BABYFOOD CRL RICE W/BANANAS PREP W/WHL MILK,81.81,86,3.57,3.32,0.81,10.49,0.1,6.13,156,3.63,20,109,180,47,0.46,0.042,0.004,4.3,0.2,0.684,0.444,1.849,0.085,0.43,152,43,0.09,1.2,47,0.5,1.798,0.826,0.294,10
03800,INF FORMULA NESTLE GOOD START SUPREME W/ IRON RTF,87.5,66,1.45,3.37,0.29,7.39,0,5,42,0.99,5,24,71,18,0.53,0.053,,1.3,5.9,0.066,0.092,0.693,0.05,0.22,200,60,0.99,1.1,42,5.3,1.47,1.08,0.74,4
03801,INF FORMULA NES G START SUPR W/ IRON LIQ CONC NOT RECON,75.8,127,2.79,6.5,0.71,14.2,0,9.7,81,1.9,9,46,137,34,1.02,0.1,,1.6,11,0.127,0.178,1.33,0.095,0.42,381,114,1.91,1.9,76,10,2.97,2.06,1.42,2
03802,INF FORMULA NESTLE GOOD START SUPREME W/ IRON PDR,2.5,509,11.3,26.1,2.78,57.32,0,39.3,343,7.7,36,184,553,138,4.1,0.41,,10.2,46.1,0.512,0.717,5.38,0.384,1.1,1537,461,7.7,7.7,307,41,11.66,8.5,5.88,32
03803,INF FORMULA  MEAD JOHNSON  ENFAMIL  W/IRON  RTF,88,63,1.38,3.5,0.32,7.2,0,7.18,51,1.18,5,35,71,18,0.66,0.05,,1.8,7.9,0.052,0.092,0.66,0.04,0.19,193,58,0.87,1,40,5.2,1.469,1.33,0.67,1
03805,INF FORMULA MEAD JOHNSON ENFAMIL W/ IRON PDR,3.3,520,10.8,27,2.7,56.2,0,56,400,9.3,41,270,560,139,5.2,0.39,,14.5,62,0.41,0.72,5.2,0.31,1.55,1567,470,6.9,7.8,310,41,11.5,10.3,5.2,17
03806,INFANT FORMULA MEAD JOHNSON ENFAMIL LO IRON RTF,88,63,1.38,3.5,0.32,7.18,0,7.18,51,0.46,5,35,71,18,0.66,0.05,0.01,1.8,7.9,0.052,0.092,0.66,0.04,0.19,193,58,0.87,1,40,5.2,1.479,1.291,0.689,1
03808,INF FORMULA MEAD JOHNSON ENFAMILLIPIL W/IRN PDR W/ ARA & DHA,3.3,511,10.8,27,2.7,56.2,0,56,400,9.3,41,270,560,139,5.2,0.39,,14.5,62,0.41,0.72,5.2,0.31,1.55,1550,470,6.9,7.8,310,41,11.221,9.899,5.24,17
03809,INF FORMULA  MEAD JOHNSON  ENFAMIL  LO IRON  POWD  NOT RECON,3.3,511,10.8,27,2.7,56.2,0,56,400,3.6,41,270,560,139,5.2,0.39,,14.5,62,0.41,0.72,5.2,0.31,1.55,1550,470,6.9,7.8,310,41,11.5,10,5.3,17
03812,INF FORMU MEAD JOHNS ENFA LIPIL W/ IRO LIQ CONC W/ ARA & DHA,75.34,131,2.76,6.96,0.6,14.34,0,14,102,2.36,11,70,142,35,1.31,0.098,,3.6,15.8,0.105,0.184,1.313,0.079,0.39,394,118,1.22,2,78,10.3,3.08,2.656,1.418,1
03813,INF FORMULA MEAD JOHNSON ENFAMIL NUTRAMIGEN W/ IRON RTF,87.38,66,1.83,3.5,0.48,6.81,0,5.13,62,1.18,7,42,72,31,0.66,0.05,,1.8,7.9,0.052,0.059,0.66,0.04,0.19,194,58,0.87,0.8,33,5.2,1.364,1.206,0.617,0
03814,INF FORM MEAD JOHNSON ENFAMIL NUTRAMIGEN W/IRON PDR NOTRECN,2.5,502,14.2,25,2.9,55,0,55,470,8.9,55,310,550,230,5,0.37,0.124,13.9,60,0.4,0.45,5,0.3,1.49,1490,450,6.6,6.3,250,40,10.99,9.52,4.93,0
03815,INF FORMULA  MEAD JOHN  ENFAMIL LIPIL W/ IRON RTF W/ AR & DH,88.35,64,1.38,3.5,0.32,7.1,0,7.1,51,1.18,5,35,71,18,0.66,0.05,0.01,1.8,7.9,0.052,0.092,0.66,0.04,0.19,193,58,0.87,1,40,5.2,1.453,1.255,0.67,1
03816,INF FORM MEAD JOHNSON ENFAMIL NUTRAMIGEN W/IRON LC NOT RECON,75.7,127,3.53,6.73,0.92,13.12,0,13.08,120,2.28,14,80,138,60,1.27,0.095,,3.5,15.1,0.101,0.114,1.27,0.077,0.37,374,112,1.68,1.6,64,10.1,2.879,2.493,1.159,0
03817,INF FORM ME JOHNS ENFAMIL LIPIL LO IRON PDR W/ ARA & DHA,3.3,511,10.8,27,2.7,56.2,0,56,400,3.6,41,270,560,139,5.2,0.39,,14.5,62,0.41,0.72,5.2,0.31,1.55,1550,470,6.9,7.8,310,41,11.2,9.63,5.2,17
